Date,Store ID,Units Sold
20171016,8023,18
20171017,8023,10
20171018,8023,26
20171019,8023,43
20171020,8023,25
20171021,8023,59
20171022,8023,11
20171023,8023,189
20171024,8023,225
20171025,8023,125
20171026,8023,9
20171027,8023,93
20171028,8023,168
20171029,8023,197
20171030,8023,179
20171031,8023,89
20171101,8023,227
20171102,8023,67
20171103,8023,39
20171104,8023,118
20171105,8023,118
20171106,8023,26
20171107,8023,11
20171108,8023,43
20171109,8023,70
20171110,8023,22
20171111,8023,62
20171112,8023,8
20171113,8023,224
20171114,8023,240
20171115,8023,55
20171116,8023,13
20171117,8023,93
20171118,8023,159
20171119,8023,219
20171120,8023,204
20171121,8023,89
20171122,8023,225
20171123,8023,59
20171124,8023,25
20171125,8023,127
20171126,8023,155
20171127,8023,77
20171128,8023,24
20171129,8023,30
20171130,8023,70
20171201,8023,21
20171202,8023,55
20171203,8023,10
20171204,8023,186
20171205,8023,219
20171206,8023,101
20171207,8023,13
20171208,8023,161
20171209,8023,152
20171210,8023,192
20171211,8023,183
20171212,8023,93
20171213,8023,219
20171214,8023,72
20171215,8023,41
20171216,8023,90
20171217,8023,256
20171218,8023,136
20171219,8023,13
20171220,8023,21
20171221,8023,55
20171222,8023,26
20171223,8023,75
20171224,8023,6
20171225,8023,148
20171226,8023,198
20171227,8023,52
20171228,8023,36
20171229,8023,177
20171230,8023,162
20171231,8023,180
20180101,8023,164
20180102,8023,114
20180103,8023,225
20180104,8023,45
20180105,8023,43
20180106,8023,149
20180107,8023,213
20180108,8023,130
20180109,8023,9
20180110,8023,33
20180111,8023,54
20180112,8023,24
20180113,8023,48
20180114,8023,12
20180115,8023,120
20180116,8023,175
20180117,8023,45
20180118,8023,22
20180119,8023,82
20180120,8023,101
20180121,8023,229
20180122,8023,190
20180123,8023,75
20180124,8023,160
20180125,8023,48
20180126,8023,40
20180127,8023,161
20180128,8023,111
20180129,8023,26
20180130,8023,13
20180131,8023,36
20180201,8023,59
20180202,8023,18
20180203,8023,34
20180204,8023,12
20180205,8023,134
20180206,8023,157
20180207,8023,55
20180208,8023,17
20180209,8023,80
20180210,8023,83
20180211,8023,245
20180212,8023,191
20180213,8023,586
20180214,8023,138
20180215,8023,58
20180216,8023,35
20180217,8023,144
20180218,8023,74
20180219,8023,28
20180220,8023,8
20180221,8023,32
20180222,8023,65
20180223,8023,38
20180224,8023,114
20180225,8023,20
20180226,8023,179
20180227,8023,247
20180228,8023,67
20180301,8023,11
20180302,8023,78
20180303,8023,129
20180304,8023,281
20180305,8023,182
20180306,8023,397
20180307,8023,158
20180308,8023,55
20180309,8023,27
20180310,8023,179
20180311,8023,50
20180312,8023,28
20180313,8023,39
20180314,8023,63
20180315,8023,124
20180316,8023,26
20180317,8023,110
20180318,8023,6
20180319,8023,191
20180320,8023,241
20180321,8023,68
20180322,8023,26
20180323,8023,61
20180324,8023,106
20180325,8023,248
20180326,8023,148
20180327,8023,127
20180328,8023,193
20180329,8023,51
20180330,8023,23
20180331,8023,131
20180401,8023,101
20180402,8023,34
20180403,8023,21
20180404,8023,83
20180405,8023,112
20180406,8023,24
20180407,8023,79
20180408,8023,9
20180409,8023,149
20180410,8023,245
20180411,8023,72
20180412,8023,16
20180413,8023,50
20180414,8023,117
20180415,8023,294
20180416,8023,125
20180417,8023,76
20180418,8023,173
20180419,8023,51
20180420,8023,27
20180421,8023,260
20180422,8023,75
20180423,8023,32
20180424,8023,10
20180425,8023,15
20180426,8023,22
20180427,8023,58
20180428,8023,50
20180429,8023,6
20180430,8023,165
20180501,8023,188
20180502,8023,79
20180503,8023,21
20180504,8023,64
20180505,8023,119
20180506,8023,217
20180507,8023,114
20180508,8023,134
20180509,8023,149
20180510,8023,38
20180511,8023,14
20180512,8023,198
20180513,8023,47
20180514,8023,21
20180515,8023,7
20180516,8023,15
20180517,8023,43
20180518,8023,20
20180519,8023,47
20180520,8023,4
20180521,8023,197
20180522,8023,192
20180523,8023,77
20180524,8023,15
20180525,8023,102
20180526,8023,186
20180527,8023,132
20180528,8023,106
20180529,8023,110
20180530,8023,335
20180531,8023,37
20180601,8023,17
20180602,8023,190
20180603,8023,535
20180604,8023,428
20180605,8023,4
20180606,8023,17
20180607,8023,30
20180608,8023,30
20180609,8023,37
20180610,8023,12
20180611,8023,221
20180612,8023,208
20180613,8023,75
20180614,8023,15
20180615,8023,163
20180616,8023,147
20180617,8023,172
20180618,8023,153
20180619,8023,105
20180620,8023,199
20180621,8023,41
20180622,8023,27
20180623,8023,142
20180624,8023,80
20180625,8023,54
20180626,8023,17
20180627,8023,26
20180628,8023,33
20180629,8023,30
20180630,8023,37
20180701,8023,8
20180702,8023,199
20180703,8023,252
20180704,8023,92
20180705,8023,19
20180706,8023,117
20180707,8023,145
20180708,8023,171
20180709,8023,187
20180710,8023,98
20180711,8023,202
20180712,8023,43
20180713,8023,23
20180714,8023,179
20180715,8023,245
20180716,8023,279
20180717,8023,7
20180718,8023,10
20180719,8023,26
20180720,8023,26
20180721,8023,29
20180722,8023,23
20180723,8023,204
20180724,8023,295
20180725,8023,73
20180726,8023,21
20180727,8023,171
20180728,8023,169
20180729,8023,204
20180730,8023,232
20180731,8023,84
20180801,8023,219
20180802,8023,39
20180803,8023,30
20180804,8023,179
20180805,8023,61
20180806,8023,44
20180807,8023,10
20180808,8023,12
20180809,8023,16
20180810,8023,62
20180811,8023,34
20180812,8023,31
20180813,8023,226
20180814,8023,310
20180815,8023,133
20180816,8023,15
20180817,8023,101
20180818,8023,146
20180819,8023,193
20180820,8023,159
20180821,8023,86
20180822,8023,170
20180823,8023,49
20180824,8023,17
20180825,8023,146
20180826,8023,80
20180827,8023,39
20180828,8023,13
20180829,8023,11
20180830,8023,25
20180831,8023,54
20180901,8023,34
20180902,8023,12
20180903,8023,251
20180904,8023,273
20180905,8023,72
20180906,8023,27
20180907,8023,65
20180908,8023,105
20180909,8023,189
20180910,8023,194
20180911,8023,20
20180912,8023,59
20180913,8023,47
20180914,8023,27
20180915,8023,39
20180916,8023,33
20180917,8023,48
20180918,8023,7
20180919,8023,20
20180920,8023,41
20180921,8023,13
20180922,8023,45
20180923,8023,17
20180924,8023,246
20180925,8023,282
20180926,8023,66
20180927,8023,13
20180928,8023,107
20180929,8023,215
20180930,8023,171
20181001,8023,223
20181002,8023,100
20181003,8023,201
20181004,8023,43
20181005,8023,18
20181006,8023,173
20181007,8023,77
20181008,8023,44
20181009,8023,22
20181010,8023,31
20181011,8023,75
20181012,8023,12
20181013,8023,49
20181014,8023,11
20181015,8023,242
20181016,8023,268
20181017,8023,62
20181018,8023,24
20181019,8023,63
20181020,8023,84
20181021,8023,243
20181022,8023,183
20181023,8023,90
20181024,8023,183
20181025,8023,37
20181026,8023,19
20181027,8023,168
20181028,8023,68
20181029,8023,37
20181030,8023,116
20181031,8023,161
20181101,8023,229
20181102,8023,11
20181103,8023,41
20181104,8023,14
20181105,8023,226
20181106,8023,266
20181107,8023,92
20181108,8023,20
20181109,8023,61
20181110,8023,91
20181111,8023,299
20181112,8023,762
20181113,8023,97
20181114,8023,154
20181115,8023,36
20181116,8023,24
20181117,8023,178
20181118,8023,84
20181119,8023,41
20181120,8023,64
20181121,8023,157
20181122,8023,258
20181123,8023,15
20181124,8023,29
20181125,8023,10
20181126,8023,316
20181127,8023,270
20181128,8023,88
20181129,8023,16
20181130,8023,58
20181201,8023,130
20181202,8023,313
20181203,8023,175
20181204,8023,89
20181205,8023,150
20181206,8023,27
20181207,8023,17
20181208,8023,127
20181209,8023,73
20181210,8023,36
20181211,8023,76
20181212,8023,66
20181213,8023,114
20181214,8023,22
20181215,8023,102
20181216,8023,13
20181217,8023,256
20181218,8023,260
20181219,8023,80
20181220,8023,34
20181221,8023,59
20181222,8023,131
20181223,8023,249
20181224,8023,170
20181225,8023,94
20181226,8023,158
20181227,8023,36
20181228,8023,22
20181229,8023,142
20181230,8023,67
20181231,8023,96
20190101,8023,49
20190102,8023,68
20190103,8023,113
20190104,8023,52
20190105,8023,138
20190106,8023,5
20190107,8023,322
20190108,8023,265
20190109,8023,74
20190110,8023,33
20190111,8023,79
20190112,8023,147
20190113,8023,147
20190114,8023,144
20190115,8023,88
20190116,8023,323
20190117,8023,34
20190118,8023,29
20190119,8023,144
20190120,8023,74
20190121,8023,114
20190122,8023,12
20190123,8023,24
20190124,8023,55
20190125,8023,89
20190126,8023,124
20190127,8023,11
20190128,8023,257
20190129,8023,242
20190130,8023,78
20190131,8023,24
20190201,8023,84
20190202,8023,141
20190203,8023,122
20190204,8023,182
20190205,8023,106
20190206,8023,88
20190207,8023,26
20190208,8023,16
20190209,8023,165
20190210,8023,75
20190211,8023,64
20190212,8023,23
20190213,8023,16
20190214,8023,37
20190215,8023,35
20190216,8023,129
20190217,8023,25
20190218,8023,249
20190219,8023,237
20190220,8023,71
20190221,8023,16
20190222,8023,95
20190223,8023,124
20190224,8023,228
20190225,8023,161
20190226,8023,106
20190227,8023,131
20190228,8023,38
20190301,8023,27
20190302,8023,159
20190303,8023,60
20190304,8023,100
20190305,8023,20
20190306,8023,31
20190307,8023,35
20190308,8023,22
20190309,8023,43
20190310,8023,50
20190311,8023,236
20190312,8023,218
20190313,8023,41
20190314,8023,2
20190315,8023,94
20190316,8023,110
20190317,8023,215
20190318,8023,176
20190319,8023,132
20190320,8023,144
20190321,8023,41
20190322,8023,30
20190323,8023,160
20190324,8023,31
20190325,8023,54
20190326,8023,9
20190327,8023,36
20190328,8023,40
20190329,8023,25
20190330,8023,42
20190331,8023,37
20190401,8023,213
20190402,8023,188
20190403,8023,92
20190404,8023,16
20190405,8023,85
20190406,8023,166
20190407,8023,238
20190408,8023,374
20190409,8023,194
20190410,8023,185
20190411,8023,37
20190412,8023,35
20190413,8023,160
20190414,8023,89
20190415,8023,64
20190416,8023,71
20190417,8023,107
20190418,8023,172
20190419,8023,19
20190420,8023,58
20190421,8023,28
20190422,8023,218
20190423,8023,227
20190424,8023,82
20190425,8023,11
20190426,8023,85
20190427,8023,157
20190428,8023,182
20190429,8023,206
20190430,8023,79
20190501,8023,452
20190502,8023,36
20190503,8023,32
20190504,8023,82
20190505,8023,73
20190506,8023,144
20190507,8023,51
20190508,8023,105
20190509,8023,145
20190510,8023,30
20190511,8023,107
20190512,8023,22
20190513,8023,241
20190514,8023,218
20190515,8023,84
20190516,8023,16
20190517,8023,137
20190518,8023,164
20190519,8023,168
20190520,8023,144
20190521,8023,73
20190522,8023,310
20190523,8023,31
20190524,8023,30
20190525,8023,223
20190526,8023,172
20190527,8023,109
20190528,8023,50
20190529,8023,118
20190530,8023,168
20190531,8023,13
20190601,8023,74
20190602,8023,8
20190603,8023,274
20190604,8023,263
20190605,8023,109
20190606,8023,16
20190607,8023,86
20190608,8023,118
20190609,8023,243
20190610,8023,150
20190611,8023,111
20190612,8023,194
20190613,8023,38
20190614,8023,36
20190615,8023,183
20190616,8023,328
20190617,8023,293
20190618,8023,22
20190619,8023,39
20190620,8023,43
20190621,8023,22
20190622,8023,162
20190623,8023,13
20190624,8023,376
20190625,8023,325
20190626,8023,89
20190627,8023,27
20190628,8023,83
20190629,8023,120
20190630,8023,227
20190701,8023,180
20190702,8023,91
20190703,8023,186
20190704,8023,36
20190705,8023,38
20190706,8023,149
20190707,8023,79
20190708,8023,60
20190709,8023,24
20190710,8023,37
20190711,8023,59
20190712,8023,14
20190713,8023,69
20190714,8023,13
20190715,8023,401
20190716,8023,455
20190717,8023,145
20190718,8023,15
20190719,8023,57
20190720,8023,117
20190721,8023,209
20190722,8023,206
20190723,8023,84
20190724,8023,147
20190725,8023,58
20190726,8023,31
20190727,8023,115
20190728,8023,89
20190729,8023,61
20190730,8023,17
20190731,8023,29
20190801,8023,53
20190802,8023,15
20190803,8023,86
20190804,8023,22
20190805,8023,327
20190806,8023,288
20190807,8023,120
20190808,8023,21
20190809,8023,46
20190810,8023,22
20190811,8023,60
20190812,8023,141
20190813,8023,83
20190814,8023,130
20190815,8023,45
20190816,8023,32
20190817,8023,90
20190818,8023,56
20190819,8023,34
20190820,8023,7
20190821,8023,28
20190822,8023,46
20190823,8023,21
20190824,8023,76
20190825,8023,7
20190826,8023,236
20190827,8023,224
20190828,8023,97
20190829,8023,20
20190830,8023,78
20190831,8023,110
20190901,8023,216
20190902,8023,170
20190903,8023,94
20190904,8023,168
20190905,8023,49
20190906,8023,40
20190907,8023,149
20190908,8023,61
20190909,8023,74
20190910,8023,27
20190911,8023,41
20190912,8023,50
20190913,8023,136
20190914,8023,48
20190915,8023,10
20190916,8023,418
20190917,8023,287
20190918,8023,109
20190919,8023,21
20190920,8023,89
20190921,8023,102
20190922,8023,208
20190923,8023,189
20190924,8023,88
20190925,8023,156
20190926,8023,28
20190927,8023,27
20190928,8023,190
20190929,8023,109
20190930,8023,82
20191001,8023,24
20191002,8023,33
20191003,8023,57
20191004,8023,158
20191005,8023,44
20191006,8023,21
20191007,8023,297
20191008,8023,172
20191009,8023,103
20191010,8023,21
20191011,8023,104
20191012,8023,42
20191013,8023,104
20191014,8023,173
20191015,8023,46
20191016,8023,44
20191017,8023,34
20191018,8023,24
20191019,8023,101
20191020,8023,31
20191021,8023,71
20191022,8023,19
20191023,8023,38
20191024,8023,50
20191025,8023,32
20191026,8023,51
20191027,8023,16
20191028,8023,353
20191029,8023,266
20191030,8023,123
20191031,8023,20
20191101,8023,79
20191102,8023,101
20191103,8023,282
20191104,8023,194
20191105,8023,97
20191106,8023,256
20191107,8023,24
20191108,8023,25
20191109,8023,90
20191110,8023,76
20191111,8023,57
20191112,8023,45
20191113,8023,111
20191114,8023,178
20191115,8023,15
20191116,8023,38
20191117,8023,33
20191118,8023,226
20191119,8023,210
20191120,8023,85
20191121,8023,20
20191122,8023,88
20191123,8023,120
20191124,8023,187
20191125,8023,187
20191126,8023,93
20191127,8023,152
20191128,8023,25
20191129,8023,15
20191130,8023,108
20191201,8023,64
20191202,8023,52
20191203,8023,6
20191204,8023,33
20191205,8023,67
20191206,8023,22
20191207,8023,31
20191208,8023,25
20191209,8023,272
20191210,8023,218
20191211,8023,97
20191212,8023,12
20191213,8023,168
20191214,8023,158
20191215,8023,240
20191216,8023,226
20191217,8023,91
20191218,8023,172
20191219,8023,41
20191220,8023,28
20191221,8023,119
20191222,8023,56
20191223,8023,63
20191224,8023,30
20191225,8023,21
20191226,8023,84
20191227,8023,23
20191228,8023,31
20191229,8023,12
20191230,8023,221
20191231,8023,199
20200101,8023,107
20200102,8023,16
20200103,8023,98
20200104,8023,151
20200105,8023,235
20200106,8023,238
20200107,8023,365
20200108,8023,200
20200109,8023,39
20200110,8023,43
20200111,8023,147
20200112,8023,47
20200113,8023,65
20200114,8023,14
20200115,8023,25
20200116,8023,70
20200117,8023,14
20200118,8023,50
20200119,8023,23
20200120,8023,208
20200121,8023,197
20200122,8023,75
20200123,8023,19
20200124,8023,119
20200125,8023,163
20200126,8023,255
20200127,8023,199
20200128,8023,263
20200129,8023,171
20200130,8023,29
20200131,8023,15
20200201,8023,105
20200202,8023,53
20200203,8023,52
20200204,8023,12
20200205,8023,31
20200206,8023,50
20200207,8023,26
20200208,8023,64
20200209,8023,11
20200210,8023,235
20200211,8023,184
20200212,8023,109
20200213,8023,31
20200214,8023,99
20200215,8023,110
20200216,8023,205
20200217,8023,239
20200218,8023,133
20200219,8023,197
20200220,8023,28
20200221,8023,54
20200222,8023,396
20200223,8023,470
20200224,8023,337
20200225,8023,13
20200226,8023,33
20200227,8023,42
20200228,8023,72
20200229,8023,59
20200301,8023,10
20200302,8023,240
20200303,8023,184
20200304,8023,103
20200305,8023,24
20200306,8023,84
20200307,8023,168
20200308,8023,221
20200309,8023,142
20200310,8023,115
20200311,8023,178
20200312,8023,58
20200313,8023,39
20200314,8023,129
20200315,8023,61
20200316,8023,88
20200317,8023,71
20200318,8023,153
20200319,8023,198
20200320,8023,13
20200321,8023,59
20200322,8023,2
20200323,8023,123
20200324,8023,79
20200325,8023,37
20200326,8023,8
20200327,8023,26
20200328,8023,44
20200329,8023,135
20200330,8023,69
20200331,8023,45
20200401,8023,84
20200402,8023,21
20200403,8023,15
20200404,8023,58
20200405,8023,36
20200406,8023,34
20200407,8023,22
20200408,8023,44
20200409,8023,81
20200410,8023,8
20200411,8023,10
20200412,8023,5
20200413,8023,238
20200414,8023,197
20200415,8023,84
20200416,8023,21
20200417,8023,63
20200418,8023,101
20200419,8023,305
20200420,8023,134
20200421,8023,81
20200422,8023,160
20200423,8023,42
20200424,8023,41
20200425,8023,305
20200426,8023,48
20200427,8023,64
20200428,8023,114
20200429,8023,145
20200430,8023,274
20200501,8023,10
20200502,8023,40
20200503,8023,23
20200504,8023,224
20200505,8023,149
20200506,8023,111
20200507,8023,20
20200508,8023,45
20200509,8023,127
20200510,8023,260
20200511,8023,126
20200512,8023,76
20200513,8023,172
20200514,8023,26
20200515,8023,28
20200516,8023,251
20200517,8023,67
20200518,8023,67
20200519,8023,110
20200520,8023,125
20200521,8023,181
20200522,8023,10
20200523,8023,39
20200524,8023,15
20200525,8023,195
20200526,8023,134
20200527,8023,94
20200528,8023,21
20200529,8023,66
20200530,8023,127
20200531,8023,241
20200601,8023,149
20200602,8023,79
20200603,8023,182
20200604,8023,36
20200605,8023,41
20200606,8023,130
20200607,8023,76
20200608,8023,51
20200609,8023,14
20200610,8023,19
20200611,8023,25
20200612,8023,44
20200613,8023,42
20200614,8023,10
20200615,8023,270
20200616,8023,188
20200617,8023,101
20200618,8023,31
20200619,8023,102
20200620,8023,155
20200621,8023,337
20200622,8023,162
20200623,8023,118
20200624,8023,179
20200625,8023,30
20200626,8023,27
20200627,8023,133
20200628,8023,97
20200629,8023,86
20200630,8023,12
20200701,8023,21
20200702,8023,47
20200703,8023,24
20200704,8023,68
20200705,8023,10
20200706,8023,233
20200707,8023,227
20200708,8023,87
20200709,8023,25
20200710,8023,83
20200711,8023,126
20200712,8023,302
20200713,8023,204
20200714,8023,111
20200715,8023,179
20200716,8023,40
20200717,8023,45
20200718,8023,124
20200719,8023,102
20200720,8023,106
20200721,8023,10
20200722,8023,37
20200723,8023,33
20200724,8023,22
20200725,8023,102
20200726,8023,19
20200727,8023,229
20200728,8023,189
20200729,8023,105
20200730,8023,69
20200731,8023,98
20200801,8023,110
20200802,8023,318
20200803,8023,234
20200804,8023,116
20200805,8023,181
20200806,8023,54
20200807,8023,33
20200808,8023,126
20200809,8023,507
20200810,8023,400
20200811,8023,14
20200812,8023,30
20200813,8023,28
20200814,8023,26
20200815,8023,88
20200816,8023,10
20200817,8023,315
20200818,8023,269
20200819,8023,131
20200820,8023,53
20200821,8023,94
20200822,8023,102
20200823,8023,273
20200824,8023,229
20200825,8023,86
20200826,8023,202
20200827,8023,42
20200828,8023,35
20200829,8023,293
20200830,8023,185
20200831,8023,187
20200901,8023,3
20200902,8023,22
20200903,8023,29
20200904,8023,71
20200905,8023,49
20200906,8023,21
20200907,8023,341
20200908,8023,285
20200909,8023,127
20200910,8023,25
20200911,8023,20
20200912,8023,81
20200913,8023,97
20200914,8023,270
20200915,8023,100
20200916,8023,203
20200917,8023,51
20200918,8023,30
20200919,8023,96
20200920,8023,260
20200921,8023,189
20200922,8023,14
20200923,8023,18
20200924,8023,33
20200925,8023,52
20200926,8023,63
20200927,8023,15
20200928,8023,227
20200929,8023,211
20200930,8023,141
20201001,8023,21
20201002,8023,70
20201003,8023,82
20201004,8023,307
20201005,8023,299
20201006,8023,107
20201007,8023,268
20201008,8023,50
20201009,8023,41
20201010,8023,91
20201011,8023,202
20201012,8023,251
20201013,8023,7
20201014,8023,19
20201015,8023,24
20201016,8023,20
20201017,8023,38
20201018,8023,21
20201019,8023,310
20201020,8023,192
20201021,8023,104
20201022,8023,19
20201023,8023,54
20201024,8023,104
20201025,8023,347
20201026,8023,198
20201027,8023,96
20201028,8023,210
20201029,8023,41
20201030,8023,36
20201031,8023,103
20201101,8023,110
20201102,8023,84
20201103,8023,7
20201104,8023,22
20201105,8023,41
20201106,8023,23
20201107,8023,58
20201108,8023,29
20201109,8023,369
20201110,8023,214
20201111,8023,127
20201112,8023,31
20201113,8023,60
20201114,8023,92
20201115,8023,326
20201116,8023,144
20201117,8023,120
20201118,8023,191
20201119,8023,35
20201120,8023,34
20201121,8023,85
20201122,8023,128
20201123,8023,62
20201124,8023,15
20201125,8023,16
20201126,8023,23
20201127,8023,18
20201128,8023,46
20201129,8023,38
20201130,8023,333
20201201,8023,281
20201202,8023,132
20201203,8023,15
20201204,8023,67
20201205,8023,129
20201206,8023,331
20201207,8023,160
20201208,8023,132
20201209,8023,198
20201210,8023,33
20201211,8023,31
20201212,8023,120
20201213,8023,121
20201214,8023,86
20201215,8023,14
20201216,8023,15
20201217,8023,50
20201218,8023,22
